boonLiability | Utter Purity | nameEn=true descEn=true | terms=- | x1 Констан Серранус
trait | Astropath | nameEn=true descEn=true | terms=Астропат | x1 Мизо Лескар
trait | Blind | nameEn=true descEn=true | terms=- | x1 Мизо Лескар
trait | Soul-Bound | nameEn=true descEn=true | terms=- | x1 Мизо Лескар
trait | Telepath | nameEn=true descEn=true | terms=- | x1 Мизо Лескар
trait | Psychic Powers | nameEn=true descEn=true | terms=Психосилы | x1 Мизо Лескар
trait | Ambusher | nameEn=true descEn=true | terms=- | x1 Джеритин Хаммер
trait | Relentless Pursuit | nameEn=true descEn=true | terms=- | x1 Джеритин Хаммер
equipment | 100 solars | nameEn=true descEn=false | terms=- | x2 Джеритин Хаммер
specialisation | Лазанье | nameEn=false descEn=true | terms=- | x2 Жокаэро
specialisation | Разминирование | nameEn=false descEn=true | terms=- | x1 Жокаэро
specialisation | Оценка | nameEn=false descEn=true | terms=- | x1 Жокаэро
specialisation | Пистолеты | nameEn=false descEn=true | terms=- | x1 Жокаэро
specialisation | Аугметика | nameEn=false descEn=true | terms=- | x4 Жокаэро
specialisation | Инженерное дело | nameEn=false descEn=true | terms=- | x2 Жокаэро
specialisation | Безопасность | nameEn=false descEn=true | terms=- | x1 Жокаэро
trait | True Faith | nameEn=true descEn=true | terms=- | x2 Хогарт Древет
trait | Flagellation Whip | nameEn=true descEn=false | terms=- | x1 Хогарт Древет
equipment | A set of ragged robes | nameEn=true descEn=false | terms=- | x1 Хогарт Древет
trait | Hernkyn Crackshot | nameEn=true descEn=true | terms=- | x1 Хернкин-йегир
equipment | Ancestral Icon | nameEn=true descEn=false | terms=- | x1 Хернкин-йегир
equipment | Trenchoat | nameEn=true descEn=false | terms=- | x1 Хернкин-йегир
weapon | Bolt Revolver | nameEn=true descEn=false | terms=- | x1 Хернкин-йегир
weapon | Plasma Knife | nameEn=true descEn=false | terms=- | x1 Хернкин-йегир
trait | Blood Fervour | nameEn=true descEn=true | terms=- | x1 Мизракс Таллиан
trait | Favoured by Khorne | nameEn=true descEn=true | terms=- | x1 Мизракс Таллиан
equipment | 200 Solars | nameEn=true descEn=false | terms=- | x1 Мизракс Таллиан
trait | Deny the Witch | nameEn=true descEn=true | terms=- | x1 Гаазрек Ткач
trait | Ephemeral Form | nameEn=true descEn=true | terms=- | x1 Гаазрек Ткач
trait | Energy of Change | nameEn=true descEn=true | terms=- | x1 Гаазрек Ткач
trait | Lesser Daemon | nameEn=true descEn=true | terms=- | x4 Гаазрек Ткач
trait | Psyker | nameEn=true descEn=true | terms=Псайкер | x1 Гаазрек Ткач
trait | Source of Corruption | nameEn=true descEn=true | terms=- | x7 Гаазрек Ткач
weapon | Coruscating Flames | nameEn=true descEn=false | terms=- | x1 Гаазрек Ткач
weapon | Daemonic Claws | nameEn=true descEn=false | terms=- | x1 Гаазрек Ткач
trait | War Hymn | nameEn=true descEn=true | terms=- | x1 Челестина Висконти
equipment | a Rosarius | nameEn=true descEn=false | terms=- | x1 Челестина Висконти
equipment | 50 solars | nameEn=true descEn=false | terms=- | x1 Челестина Висконти
specialisation | Aeldari | nameEn=true descEn=false | terms=- | x3 Призрачный страж
equipment | Aeldari Spirit Stones | nameEn=true descEn=false | terms=- | x1 Призрачный страж
trait | Aeldrai War Construct | nameEn=true descEn=true | terms=- | x1 Призрачный страж
